# VERIFIED forcing matrix — CMIP5 historical (1850–2005). Compiled from per-model research files.
# Baseline: Taylor et al. 2012 (BAMS doi:10.1175/BAMS-D-11-00094.1) standard protocol.
# Temporal codes: TV=time-varying · FXc=fixed climatology · FXk=fixed constant (value in parentheses)
#                 n/a=not applied · ?=unknown/unverified · TV+=interactive (exceeds prescribed standard)
# Verdict codes: std=follows standard protocol · dev=deviates (different dataset) · exc=exceeds standard
#                (interactive where prescribed was standard) · ?=unverified
# ESM column: documents additional forcing inputs for ESM-component models (N-dep, CO2-mode, iron dep, etc.)
model_id,G,O,SD,SI,BC,OC,MD,SS,LU,SO,VL,FC,esm_inputs,protocol_deviations
mpi_esm_mr,"TV(Meinshausen2011) ✓std(as-LR)","TV(Cionni2011) ✓std(as-LR)","TV(Kinne-MACv1) ✗dev(as-LR)","n/a(no-aerosol-cloud-indirect;as-LR) ✗dev","TV(Kinne-bundled) ✗dev(as-LR)","TV(Kinne-bundled) ✗dev(as-LR)","TC(Kinne-MACv1-coarse-natural;as-LR) ✗dev","TC(Kinne-MACv1-coarse-natural;as-LR) ✗dev","TV(Hurtt2011) ✓std(as-LR)","TV(SPARC/SOLARIS;as-LR) ✗dev","TV(Stenchikov1998-PADS-extended;as-MPI-ESM-LR;Giorgetta2013-S4.7) ✗dev","na","ESM(as-LR;resolution-differs)","identical-forcing-to-MPI-ESM-LR(inferred;same-ECHAM6-physics;MR-has-higher-res-ocean-TP10-vs-TP04-only);SI/MD/SS/SO=✗dev(as-LR;Giorgetta2013+Stevens2013)"
mpi_esm_p,"TV(Meinshausen2011) ✓std(as-LR;inferred)","TV(Cionni2011) ✓std(as-LR;inferred)","TV(Kinne-MACv1) ✗dev(as-LR;inferred)","n/a(no-aerosol-cloud-indirect;as-LR) ✗dev","TV(Kinne-bundled) ✗dev(as-LR;inferred)","TV(Kinne-bundled) ✗dev(as-LR;inferred)","TC(Kinne-MACv1-coarse-natural;as-LR) ✗dev","TC(Kinne-MACv1-coarse-natural;as-LR) ✗dev","TV(Hurtt2011) ✓std(as-LR;inferred)","TV(SPARC/SOLARIS;as-LR) ✗dev","TV(Stenchikov1998-PADS-extended;as-MPI-ESM-LR;inferred;Giorgetta2013-S4.7) ✗dev","na","ESM(as-LR;paleo-config;all-ESM-inputs-unresolved)","all-inferred-from-MPI-ESM-LR(Paleo-configuration;no-paleo-forcing-simplification-evidence-found);SI/MD/SS/SO=✗dev(as-LR;Giorgetta2013+Stevens2013)"
ec_earth,"?(prescribed-CO2-confirmed;specific-dataset-unconfirmed)","?(likely-Cionni2011;unconfirmed)","TV(CMIP5-CAM/Lamarque2011-mass-conc-fields-mapped-to-IFS-aerosol-types;direct-effect-only) ~std","n/a(explicitly-confirmed-NO-indirect-effect) ✗dev","TV(included-in-CAM/Lamarque2011-IFS-mapping) ~std","TV(included-in-CAM/Lamarque2011-IFS-mapping) ~std","TV(Lamarque2011-mass-conc-fields-all-aerosol-types-incl-dust;Hazeleger2011-L233-236) ~std","TV(Lamarque2011-mass-conc-fields-all-aerosol-types-incl-sea-salt;Hazeleger2011-L233-236) ~std","?(H-TESSEL;unconfirmed)","?(unconfirmed)","?(unconfirmed)","na","none(AOGCM;H-TESSEL-no-active-C-cycle)","SI=✗dev(NO-indirect-effect;Wyser2020-verbatim-doi:10.5194/gmd-13-3465-2020;confirmed-1-0-high-conf); aerosols=~std(CMIP5-CAM/Lamarque2011-mass-conc-IFS-mapped;direct-only;Wyser2020+Doscher2022;MD/SS=Stage-C-2026-06-22:Hazeleger2011-L233-236-confirms-Lamarque2011-covers-all-species); G/O/SO/VL/LU=unconfirmed(no-CMIP5-specific-EC-EARTH-documentation-paper-found)"
hadcm3,"~(IPCC1995-Schimel1996-in-Johns2003;CMIP5-update-to-Meinshausen2011-uncertain) ~unclear","TV(Li&Shine1995+STOCHEM-Collins1997/1999+SAGE-Wang1996;NOT-Cionni2011) ✗dev","TV+(interactive-sulphate-SO2-emis;Stott2000-L157;Johns2003-S5.3) exc","~(offline-calibrated-cloud-albedo-perturbation;Johns2003-AppA;~70%-of-HadAM3-magnitude) ~unclear","n/a(Johns2003-S5.4:not-applied) ✗dev","n/a(Johns2003-S5.4:not-applied) ✗dev","n/a(Johns2003-L4252:omitted-mineral-dust) ✗dev","n/a(absent-no-SS-historical-forcing;consistent-BC/OC/MD-absent) ✗dev","n/a(Johns2003-L4261:neglected-land-surface-changes) ✗dev","TV(Lean1995-LBB95;NOT-Wang2005;Stott2000-ref22;Jones2011-Fig13-confirms-CMIP5) ✗dev","TV(Sato1993;Stott2000-ref21) ✓std","na(Gordon2000:without-flux-adjustments;CMIP5-free-running-confirmed) ✓","none(AOGCM)","Stage-B-2026-06-22:O=✗dev(Li&Shine1995+STOCHEM+SAGE;Johns2003-S5.2);SD=exc(interactive-sulphate;Stott2000+Johns2003-S5.3);SI=~(offline-calibrated-albedo-perturbation;Johns2003-AppA);BC/OC=✗dev(Johns2003-S5.4:not-applied);MD=✗dev(Johns2003-L4252:omitted);SS=✗dev(absent);LU=✗dev(Johns2003-L4261:neglected);SO=✗dev(Lean1995/LBB95;Stott2000-ref22;Jones2011);VL=✓std(Sato1993;Stott2000-ref21);FC=n/a(Gordon2000);G=~uncertain(IPCC1995-in-Johns2003;CMIP5-Meinshausen2011-update-unconfirmed)"
hadgem2_ao,"TV(Meinshausen2011)?std(inferred-from-HadGEM2-family)","TV(Cionni2011)?std(inferred;no-UKCA-chemistry)","TV+(CLASSIC-Lamarque2010-emis-ammonium-sulphate)?~std(inferred-from-HadGEM2-ES)","TV+(CLASSIC-1st+2nd-indirect)?exc(inferred)","TV+(CLASSIC-Lamarque2010-emis-FF-BC)?~std(inferred)","TV+(CLASSIC-Lamarque2010-emis-FF-OC+biomass-burning)?~std(inferred)","TV+(CLASSIC-interactive-dust-from-model-winds)?exc(inferred)","TV+(CLASSIC-interactive-seaSalt-from-model-winds)?exc(inferred)","TV(Hurtt2011)?std(inferred)","TV(Lean2009/Wang2005)?std(inferred)","TV(Sato1993-extended-Thomason2008-floor)?dev(inferred)","na","none(AOGCM)","all-inferred-from-HadGEM2-ES(Collins2011+Jones2011+Martin2011;same-CLASSIC-family); O=?std(no-UKCA;Cionni2011-expected); aerosols=?~std/exc-mix(CLASSIC-6species-Lamarque2010-emis;inferred); VL=?dev(Sato1993-extended;inferred); ACCESS1-0/1-3-share-same-HadGEM2-A-atmosphere"
hadgem2_cc,"TV(Meinshausen2011)?std(inferred)","TV+(UKCA-interactive-chem)?exc(inferred;CC=UKCA-chemistry)","TV+(CLASSIC-Lamarque2010-emis-ammonium-sulphate)?~std(inferred)","TV+(CLASSIC-1st+2nd-indirect)?exc(inferred)","TV+(CLASSIC-Lamarque2010-emis-FF-BC)?~std(inferred)","TV+(CLASSIC-Lamarque2010-emis-FF-OC+biomass-burning)?~std(inferred)","TV+(CLASSIC-interactive-dust)?exc(inferred)","TV+(CLASSIC-interactive-seaSalt)?exc(inferred)","TV(Hurtt2011)?std(inferred)","TV(Lean2009/Wang2005)?std(inferred)","TV(Sato1993-extended)?dev(inferred)","na","UKCA-chem-inputs:Lamarque2010-precursor-emis(inferred)","all-inferred-from-HadGEM2-ES(same-CLASSIC-family); O=exc(UKCA-interactive;inferred-by-family-analogy;not-directly-verified); aerosol=~std/exc-mix(CLASSIC-Lamarque2010-emis;inferred)"
hadgem2_es,"TV(Meinshausen2011) ✓std","TV+(UKCA-interactive-trop-chem+Cionni2011-NCAS-strat-input) exc","TV+(CLASSIC-Lamarque2010-emis-ammonium-sulphate-6species) ~std","TV+(CLASSIC-1st+2nd-indirect-all-except-FF-BC-and-dust) exc","TV+(CLASSIC-Lamarque2010-emis-FF-BC-direct-only) ~std","TV+(CLASSIC-Lamarque2010-emis-FF-OC+biomass-burning) ~std","TV+(CLASSIC-interactive-mineral-dust-from-model-winds) exc","TV+(CLASSIC-interactive-seaSalt-from-model-winds) exc","TV(Hurtt2011-HYDE-v3.1-via-TRIFFID-DGVM;crop+pasture-1860-2005) ✓std","TV(Lean2009/Wang2005-CMIP5-standard;Maunder-to-modern-1.11Wm-2) ✓std","TV(Sato1993-monthly-OD-1850-2000;extended-Thomason2008-0.002-floor-post-2000) ✗dev","na","CO2=conc-driven(Meinshausen2011-historical);emis-driven-3.2E-variant-also-exists;atmos-chem=Lamarque2010-precursor-emis→UKCA-OConnor2011;N-dep=?;ocean-BGC=?","O=exc(UKCA-interactive-trop;Lamarque2010-precursors;Cionni2011-NCAS-strat-only;Jones2011-Sect4.1-4.2;confirmed-1-0-high-conf); aerosols=~std/exc-mix(CLASSIC-6-species-Lamarque2010-emis;emission-driven-not-prescribed-OD;MD/SS=fully-interactive-from-model-winds;Jones2011+Martin2011;confirmed-1-0-high-conf); LU=✓std(Hurtt2011-via-TRIFFID;Jones2011;confirmed-1-0-high-conf); SO=✓std(Lean2009/Wang2005;Jones2011-Sect7.1;confirmed-1-0-high-conf); VL=✗dev(Sato1993-extended-NOT-Sato-updated;Jones2011;confirmed-1-0-high-conf); G=✓std(Meinshausen2011;Jones2011-Fig2;confirmed-1-0-high-conf)"
miroc4h,"TV(Meinshausen2011) ✓std","TV(CHASER/Sudo2002-offline;NOT-Cionni2011) ✗dev","TV+(sSPRINTARS-interactive-Lamarque2010-SO2) exc","TV+(sSPRINTARS-indirect-aerosol-cloud) exc","TV+(sSPRINTARS-interactive-BC-Lamarque2010) exc","TV+(sSPRINTARS-interactive-OC-Lamarque2010) exc","TV+(sSPRINTARS-interactive-dust-Lamarque2010) exc","TV+(sSPRINTARS-interactive-seaSalt-Lamarque2010) exc","TV(Hurtt2009/2011) ✓std","TV(Lean2005-SolarPhys230) ~unclear","TV(Sato1993-updated) ✓std","na","none(AOGCM)","ALL-11-CELLS-RESOLVED(second-pass-2026-06-21;Sakamoto2012-Sect3.1-external-forcing-section); G=✓std(Meinshausen2011); O=✗dev(sSPRINTARS-CHASER-offline); aerosols=exc(sSPRINTARS-5-species-Lamarque2010-emis); LU=✓std(Hurtt2009/2011); SO=~(Lean2005-SolarPhys-SORCE-vs-Wang2005-ApJ); VL=✓std(Sato1993)"
miroc5,"TV(Meinshausen2011) ✓std","TV(CHASER-offline;NOT-Cionni2011) ✗dev","TV+(SPRINTARS-interactive-Lamarque2010-SO2) exc","TV+(SPRINTARS-prog-cloud-droplet-act-direct+indirect) exc","TV+(SPRINTARS-interactive-BC-Lamarque2010) exc","TV+(SPRINTARS-interactive-OC-Lamarque2010) exc","TV+(SPRINTARS-interactive-dust-Lamarque2010) exc","TV+(SPRINTARS-interactive-seaSalt-Lamarque2010) exc","TV(Hurtt2009/2011) ✓std","TV(Lean2005-SolarPhys230) ~unclear","TV(Sato1993-updated) ✓std","na","none(AOGCM)","ALL-11-CELLS-RESOLVED(second-pass-2026-06-21;WatanabeM2010-Sect2e-external-forcing-section); G=✓std(Meinshausen2011;RCP-Concentration-Calculations-Task-Group); O=✗dev(CHASER-offline); aerosols=exc(SPRINTARS-Lamarque2010-emis+cloud-micro); LU=✓std(Hurtt2009/2011); SO=~(Lean2005-SolarPhys-SORCE-vs-Wang2005-ApJ); VL=✓std(Sato1993)"
miroc_esm,"TV(Meinshausen2011) ✓std","~std(prescribed-custom-Kawase2011-offline;no-solar-cycle/QBO;NOT-Cionni2011-by-name;Watanabe2011)","TV+(SPRINTARS-interactive-sulphate-Lamarque2010-SO2-emis;Watanabe2011) exc","TV+(SPRINTARS-coupled-direct+semi-direct+indirect;Watanabe2011) exc","TV+(SPRINTARS-interactive-BC-Lamarque2010-emis;Watanabe2011) exc","TV+(SPRINTARS-interactive-OM-Lamarque2010-emis;Watanabe2011) exc","TV+(SPRINTARS-interactive-dust-internal-model-emis;Watanabe2011) exc","TV+(SPRINTARS-interactive-seaSalt-internal-model-emis;Watanabe2011) exc","TV(Hurtt2009/2011) ✓std","TV(Lean2005-SolarPhys230-explicitly-cited) ~unclear","TV(Sato1993+updates;Watanabe2011) ✓std","na","ESM(SEIK-BGC+MATSIRO;CO2-mode=?;N-dep=?;iron=SPRINTARS-interactive-dust;atmos-chem-inputs=Lamarque2010)","G=✓std(Meinshausen2011;Watanabe2011-Sect3.2-verbatim;second-pass-2026-06-21); LU=✓std(Hurtt2009/2011;Watanabe2011-SEIB-DGVM;second-pass-2026-06-21); SO=~(Lean2005-SolarPhys-SORCE-paper;explicitly-cited;nuanced-vs-Wang2005-ApJ); SD/SI/BC/OC/MD/SS=exc(SPRINTARS); VL=✓std(Sato1993+updates)"
miroc_esm_chem,"TV(Meinshausen2011) ✓std","TV+(CHASER-interactive-chem;ozone-predicted-from-Lamarque2010-precursor-emis;Watanabe2011) exc","TV+(SPRINTARS-interactive-sulphate-Lamarque2010-emis;as-MIROC-ESM) exc","TV+(SPRINTARS-coupled-indirect;as-MIROC-ESM) exc","TV+(SPRINTARS-interactive-BC-Lamarque2010-emis;as-MIROC-ESM) exc","TV+(SPRINTARS-interactive-OM-Lamarque2010-emis;as-MIROC-ESM) exc","TV+(SPRINTARS-interactive-dust-internal;as-MIROC-ESM) exc","TV+(SPRINTARS-interactive-seaSalt-internal;as-MIROC-ESM) exc","TV(Hurtt2009/2011) ✓std","TV(Lean2005-SolarPhys230-explicitly-cited) ~unclear","TV(Sato1993+updates;Watanabe2011) ✓std","na","ESM(as-MIROC-ESM;CHASER-adds-interactive-chem;atmos-chem-inputs=Lamarque2010)","G=✓std(Meinshausen2011;as-MIROC-ESM;Watanabe2011;second-pass-2026-06-21); LU=✓std(Hurtt2009/2011;as-MIROC-ESM;second-pass-2026-06-21); SO=~(Lean2005-SolarPhys-SORCE;as-MIROC-ESM); O=exc(CHASER;Watanabe2011); SD/SI/BC/OC/MD/SS=exc(SPRINTARS); VL=✓std"
noresm1_m,"TV(Meinshausen2011) ✓std","TV(Cionni2011) ✓std","TV+(CAM4-Oslo-interactive-Lamarque2010-emis) exc","TV+(CAM4-Oslo-1st+2nd-indirect) exc","TV+(CAM4-Oslo-interactive-Lamarque2010-emis) exc","TV+(CAM4-Oslo-interactive-Lamarque2010-emis) exc","TV+(CAM4-Oslo-interactive-wind-emis) exc","TV+(CAM4-Oslo-interactive-wind-emis) exc","TV(Hurtt2011) ✓std","TV(Wang2005) ✓std","TV(Sato1993-updated) ✓std","na","none(AOGCM)","SD/SI/BC/OC/MD/SS=exc(CAM4-Oslo-interactive-from-Lamarque2010-emis+wind-emis;Bentsen2013-GMD)"
noresm1_me,"TV(Meinshausen2011) ✓std","TV(Cionni2011) ✓std","TV+(CAM4-Oslo-interactive-Lamarque2010-emis) exc","TV+(CAM4-Oslo-1st+2nd-indirect) exc","TV+(CAM4-Oslo-interactive-Lamarque2010-emis) exc","TV+(CAM4-Oslo-interactive-Lamarque2010-emis) exc","TV+(CAM4-Oslo-interactive-wind-emis) exc","TV+(CAM4-Oslo-interactive-wind-emis) exc","TV(Hurtt2011) ✓std","TV(Wang2005) ✓std","TV(Sato1993-updated) ✓std","na","N-dep=Lamarque2010(not-2013-ACCMIP;Tjiputra2013);CO2=conc-driven(Meinshausen2011);iron-dep=Mahowald2005(HAMOCC)","SD/SI/BC/OC/MD/SS=exc(CAM4-Oslo-as-NorESM1-M); N-dep=Lamarque2010(not-2013-ACCMIP;Tjiputra2013-GMD)"
fgoals_g2,"TV(Meinshausen2011) ✓std","TV(Cionni2011) ✓std","TV(BAM-bulk-mass-conc-Lamarque2010-offline-transport) ✗dev","TV+(1st-indirect-Twomey-GAMIL2) exc","TV(BAM-bulk-Lamarque2010) ✗dev","TV(BAM-bulk-Lamarque2010) ✗dev","TV+(interactive-online-GAMIL2) exc","TV+(interactive-online-GAMIL2) exc","TV(Hurtt2011) ✓std","TV(Wang2005) ✓std","TV(Sato1993-updated) ✓std","na","none(AOGCM)","SD/BC/OC=dev(BAM-bulk-mass-conc-not-std-OD;Li2013); SI/MD/SS=exc; CORRECTS-CMIP3-omissions-SO/VL/LU/FC(fgoals1.0_g)"
fgoals_s2,"TV(Meinshausen2011) ✓std","TV(Cionni2011) ✓std","TV(BAM-bulk-mass-conc-Lamarque2010) ✗dev","TV+(1st-indirect-Twomey) exc","TV(BAM-bulk-Lamarque2010) ✗dev","TV(BAM-bulk-Lamarque2010) ✗dev","TV+(interactive-online-SAMIL2) exc","TV+(interactive-online-SAMIL2) exc","TV(Hurtt2011) ✓std","TV(Wang2005) ✓std","TV(Sato1993-updated) ✓std","na","none(AOGCM)","SD/BC/OC=dev(BAM-bulk;as-FGOALS-g2;Bao2013); SI/MD/SS=exc; identical-forcing-to-FGOALS-g2"
fio_esm,"TV(Meinshausen2011) ✓std","TV(Cionni2011) ✓std","TV(Lamarque2010-OD-direct-only) ✓std","na","TV(Lamarque2010-OD-direct-only) ✓std","TV(Lamarque2010-OD-direct-only) ✓std","FXc(fixed-background-climatology) ~unclear","FXc(fixed-background-climatology) ~unclear","TV(Hurtt2011) ✓std","TV(Wang2005) ✓std","TV(Sato1993-updated;NOT-Ammann2003) ✓std","na","none(no-standard-ESM-BGC-despite-ESM-name)","SI=n/a(CAM3.1-no-indirect-effect;refuted-0-1); MD/SS=FXc(fixed-background;not-interactive;refuted-0-1); VL=✓std(Sato-updated-adopted-NOT-Ammann2003-despite-CAM3-heritage;confirmed-1-0)"
bnu_esm,"TV(Meinshausen2011) ✓std","TV(Cionni2011) ✓std","TV(Lamarque2010-OD) ✓std","TV+(1st-indirect-Twomey-BCC-AGCM2.0.1) exc","TV(Lamarque2010-OD) ✓std","TV(Lamarque2010-OD) ✓std","TV+(interactive-online-BCC-AGCM2.0.1) exc","TV+(interactive-online-BCC-AGCM2.0.1) exc","TV(Hurtt2011) ✓std","TV(Wang2005) ✓std","TV(Sato1993-updated) ✓std","na","N-dep=Lamarque2010(not-2013-ACCMIP;Ji2014);CO2=conc-driven(Meinshausen2011);iron-dep=Mahowald2005(NEMO2-BGC;Ji2014)","SI/MD/SS=exc(BCC-AGCM2.0.1-1st-indirect+interactive-dust-salt;Ji2014); N-dep=Lamarque2010(not-2013-ACCMIP)"
cmcc_cesm,"TV(ENSEMBLES-JohnsTCetal2011-cnrm.meteo.fr-obs-conc;NOT-Meinshausen2011) ✗dev","FXc(T31_o3clim2.nc-monthly-zonal-climatology;NOT-Cionni2011-time-varying;Fogli2009-input-file-list) ✗dev","TV(ENSEMBLES-annual-so4-T31_so4_YYYY.nc;Vichi2011-cnrm.meteo.fr;NOT-Lamarque2010-OD) ✗dev","n/a(ECHAM5-T31-without-HAM;no-indirect-effect-files-in-Fogli2009) ✗dev","n/a(ECHAM5-T31-sulphate-only;no-BC-file-in-Fogli2009-input-list) ✗dev","n/a(ECHAM5-T31-sulphate-only;no-OC-file-in-Fogli2009-input-list) ✗dev","FXc(T31_so4_nat_clim.nc-natural-sulphate-background;no-dust-file;Fogli2009) ✗dev","FXc(no-sea-salt-file-in-Fogli2009;ECHAM5-T31-background-only) ✗dev","n/a(vegetation-CLIM-only;no-time-varying-LU-file-in-Fogli2009-input-list) ✗dev","~(Vichi2011-p19809:INGV-CMCC-CE-simulations-without-variation-in-natural-forcings;likely-n/a)","~(Vichi2011-p19820:INGV-CMCC-CE-simulations-without-variation-in-natural-forcings;likely-n/a)","n/a","PELAGOS+SILVA(BGC+land-C;CO2=conc-driven-Vichi2011-prescribed-CO2-conc;N-dep=unconfirmed;iron=unconfirmed-PELAGOS)","G=✗dev(ENSEMBLES-JohnsTCetal2011);O=✗dev(Fogli2009-T31_o3clim2.nc-fixed-clim);SD=✗dev(ENSEMBLES-SO4);SI/BC/OC=✗dev(not-applied-sulphate-only-ECHAM5);MD/SS=✗dev(fixed-natural-background);LU=✗dev(no-TV-LU-Fogli2009);SO/VL=~unclear(Vichi2011-no-natural-forcing-variation)"
cmcc_cm,"?(unconfirmed;Meinshausen2011-~std-expected-given-O=Cionni2011)","TV(Cionni2011-C1modB;Eyring2013-Table1) ✓std","?(unconfirmed;ECHAM5-without-HAM;Lamarque2010-OD-or-Tanre1984-FXc-background)","?(unconfirmed;n/a-likely-ECHAM5-without-2moment-microphysics)","?(unconfirmed;n/a-likely-ECHAM5-T31-sulphate-only-analogous-to-CESM)","?(unconfirmed;n/a-likely-as-BC)","?(unconfirmed;FXc-Tanre1984-expected)","?(unconfirmed;FXc-expected)","?(unconfirmed)","?(unconfirmed;Wang2005-std-expected-given-CMIP5-protocol)","?(unconfirmed;Sato-updated-std-expected)","n/a","none(AOGCM)","O=✓std(Cionni2011-C1modB;Eyring2013-Table1;confirmed-Stage11);all-other-cells-unconfirmed"
cmcc_cms,"?(unconfirmed)","?(hitop-Cionni2011-variant-strongly-inferred;absent-from-Eyring2013-Table1)","?(unconfirmed)","?(unconfirmed)","?(unconfirmed)","?(unconfirmed)","?(unconfirmed)","?(unconfirmed)","?(unconfirmed)","?(unconfirmed)","?(unconfirmed)","n/a","none(AOGCM)","O=?(hitop-Cionni2011-inferred-absent-from-Eyring2013-Table1);all-cells-unconfirmed"
